job_id	extension_id	method	coefficient_type	number	timing_user	timing_system	timing_elapsed
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	4	168.936	1.616	143.652
63996935	a3bf7	edgeR	Cont	4	423.735	1.332	226.917
63996935	a3bf7	DESeq2	Cont	4	362.715	3.175	303.046
63996935	a3bf7	glm_gp overdispersion = 0	Cont	5	97.192	0.819	50.353
63996935	a3bf7	glm_gp	Cont	5	146.428	1.28	92.752
63996935	a3bf7	glm_gp on disk	Cont	5	177.658	2.033	125.203
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	5	186.749	1.654	157.42
63996935	a3bf7	edgeR	Cont	5	458.943	1.48	248.504
63996935	a3bf7	DESeq2	Cont	5	436.945	4.355	345.845
63996935	a3bf7	glm_gp overdispersion = 0	Cont	6	111.009	1.183	57.462
63996935	a3bf7	glm_gp	Cont	6	171.752	1.547	108.149
63996935	a3bf7	glm_gp on disk	Cont	6	205.523	2.203	142.234
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	6	209.329	1.767	172.269
63996935	a3bf7	edgeR	Cont	6	508.692	1.132	276.387
63996935	a3bf7	DESeq2	Cont	6	531.169	5.615	398.349
63996935	a3bf7	glm_gp overdispersion = 0	Cont	7	127.659	1.39	65.868
63996935	a3bf7	glm_gp	Cont	7	204.154	1.679	129.752
63996935	a3bf7	glm_gp on disk	Cont	7	236.845	2.306	163.067
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	7	233.346	1.899	189.987
63996935	a3bf7	edgeR	Cont	7	532.952	0.694	291.706
63996935	a3bf7	DESeq2	Cont	7	664.332	8.794	473.644
63996936	55b52	glm_gp overdispersion = 0	Cat	1	6.187	0.663	6.755
63996936	55b52	glm_gp	Cat	1	19.279	0.689	19.221
63996936	55b52	glm_gp on disk	Cat	1	43.323	1.693	44.258
63996936	55b52	DESeq2 with glmGamPoi	Cat	1	25.992	1.203	27.151
63996936	55b52	edgeR	Cat	1	100.977	1.789	102.808
63996936	55b52	DESeq2	Cat	1	218.706	2.831	221.553
63996936	55b52	glm_gp overdispersion = 0	Cat	2	5.213	0.538	5.679
63996936	55b52	glm_gp	Cat	2	19.832	0.791	19.892
63996936	55b52	glm_gp on disk	Cat	2	50.475	1.662	51.376
63996936	55b52	DESeq2 with glmGamPoi	Cat	2	38.443	2.134	40.492
63996936	55b52	edgeR	Cat	2	162.3	1.394	112.893
63996936	55b52	DESeq2	Cat	2	234.615	2.717	237.29
63996936	55b52	glm_gp overdispersion = 0	Cat	3	5.107	0.482	5.503
63996936	55b52	glm_gp	Cat	3	22.864	0.614	23.004
63996936	55b52	glm_gp on disk	Cat	3	59.565	2.506	61.593
63996936	55b52	DESeq2 with glmGamPoi	Cat	3	64.926	2.586	50.409
63996936	55b52	edgeR	Cat	3	164.464	1.503	113.557
63996936	55b52	DESeq2	Cat	3	272.454	2.672	257.019
63996936	55b52	glm_gp overdispersion = 0	Cat	4	80.191	0.958	42.258
63996936	55b52	glm_gp	Cat	4	104.433	1.275	62.45
63996936	55b52	glm_gp on disk	Cat	4	134.574	2.77	95.152
63996936	55b52	DESeq2 with glmGamPoi	Cat	4	87.852	3.169	63.113
63996936	55b52	edgeR	Cat	4	379.249	1.795	195.916
63996936	55b52	DESeq2	Cat	4	238.796	3.016	209.584
63996936	55b52	glm_gp overdispersion = 0	Cat	5	93.956	1.053	49.158
63996936	55b52	glm_gp	Cat	5	122.639	1.48	73.383
63996936	55b52	glm_gp on disk	Cat	5	154.516	2.932	107.123
63996936	55b52	DESeq2 with glmGamPoi	Cat	5	99.907	3.311	71.663
63996936	55b52	edgeR	Cat	5	431.316	2.4	221.697
63996936	55b52	DESeq2	Cat	5	362.347	10.019	285.035
63996936	55b52	glm_gp overdispersion = 0	Cat	6	98.322	1.514	51.639
63996936	55b52	glm_gp	Cat	6	134.128	1.943	80.149
63996936	55b52	glm_gp on disk	Cat	6	169.988	3.866	117.661
63996936	55b52	DESeq2 with glmGamPoi	Cat	6	120.899	4.259	85.687
63996936	55b52	edgeR	Cat	6	473.673	2.633	244.477
63996936	55b52	DESeq2	Cat	6	616.467	20.351	450.693
63996936	55b52	glm_gp overdispersion = 0	Cat	7	114.482	1.746	59.779
63996936	55b52	glm_gp	Cat	7	159.521	2.24	95.782
63996936	55b52	glm_gp on disk	Cat	7	193.833	3.958	131.859
63996936	55b52	DESeq2 with glmGamPoi	Cat	7	140.329	4.894	100.097
63996936	55b52	edgeR	Cat	7	501.469	2.611	258.201
63996936	55b52	DESeq2	Cat	7	898.925	31.846	590.655
63996936	55b52	glm_gp overdispersion = 0	Cat	8	124.628	2.016	65.045
63996936	55b52	glm_gp	Cat	8	180.486	2.665	105.065
63996936	55b52	glm_gp on disk	Cat	8	212.847	4.382	140.367
63996936	55b52	DESeq2 with glmGamPoi	Cat	8	160.863	5.122	113.415
63996936	55b52	edgeR	Cat	8	511.717	2.587	264.346
63996936	55b52	DESeq2	Cat	8	1313.446	44.559	818.045
63996936	55b52	glm_gp overdispersion = 0	Cont	1	5.352	0.675	5.938
63996936	55b52	glm_gp	Cont	1	18.493	0.903	18.643
63996936	55b52	glm_gp on disk	Cont	1	43.95	2.124	45.294
63996936	55b52	DESeq2 with glmGamPoi	Cont	1	23.315	2.722	25.988
63996936	55b52	edgeR	Cont	1	100.839	2.306	103.175
63996936	55b52	DESeq2	Cont	1	218.53	3.444	221.958
63996936	55b52	glm_gp overdispersion = 0	Cont	2	28.566	0.538	28.989
63996936	55b52	glm_gp	Cont	2	48.753	0.974	48.943
63996936	55b52	glm_gp on disk	Cont	2	83.884	3.057	86.142
63996936	55b52	DESeq2 with glmGamPoi	Cont	2	121.311	3.871	125.079
63996936	55b52	edgeR	Cont	2	237.224	2.111	184.901
63996936	55b52	DESeq2	Cont	2	270.425	4.532	274.552
63996936	55b52	glm_gp overdispersion = 0	Cont	3	73.238	0.847	38.727
63996936	55b52	glm_gp	Cont	3	109.319	1.343	69.486
63996936	55b52	glm_gp on disk	Cont	3	143.002	2.939	105.132
63996936	55b52	DESeq2 with glmGamPoi	Cont	3	160.415	3.84	140.975
63996936	55b52	edgeR	Cont	3	396.285	2.437	209.917
63996936	55b52	DESeq2	Cont	3	339.265	6.971	302.813
63996936	55b52	glm_gp overdispersion = 0	Cont	4	84.693	1.051	44.573
63996936	55b52	glm_gp	Cont	4	124.644	1.507	78.226
63996936	55b52	glm_gp on disk	Cont	4	157.885	3.106	113.936
63996936	55b52	DESeq2 with glmGamPoi	Cont	4	171.678	4.13	148.472
